qna_no,q_title,q_content,a_content,q_date,manager,a_date
4464,리스,리스 관심있습니다. 선납금없이 이용하는데 가능한지 궁금합니다.,,오후 6:29:07,kimjr1201,오전 9:21:06
4463,신용회복중 활부나 리스 가능,"신용회복위원회에 22년 1월에 금액을 납부 해야하는 상황인데 차량이 8월 정도 필요합니다.
그래서 리스나 활부 중에 가능 한게 있나요?","<p>안녕하세요 김시온 고객님.</p><p>신용회복중 할부 또는 리스진행이 어려운점 양해부탁드립니다.</p><p>렌트는 심사여부에 따라 가능여부 달라지고 있는데, 해당상담 도와드려도 괜찮으실까요?</p><p>문자확인 후 재문의(대표번호, 카카오톡 리본카, 홈페이지) 남겨주시면 확인하여 추가상담도와드리겠습니다.</p><p>오늘도 즐거운하루 시작되세요, 감사합니다.</p>",오후 6:03:26,kimjr1201,오전 9:18:25
4454,렌트,혹시 가격및 면책금이랑 차량은 혹시어떻게인도받나요?,,오전 11:13:40,kimjr1201,오전 11:14:33
4451,제차,카이런 매물 내놓고  ㅈ,"<p>안녕하세요 권낙현 고객님.</p><p>문의주시는 내용이 대차구매가 맞으실까요?</p><p>우선 금일 담당매니저를 통하여 상세상담도와드릴 수 있도록 하겠습니다.</p><p>담당매니저를 통하여 전화드리오니, 판매하실 카이런 차량의 정보(번호, 연식, 주행거리, 사고유무 등) 확인부탁드립니다.</p><p>감사합니다.</p>",오전 10:25:26,kimjr1201,오전 10:47:04
4447,만 21세 이상 보험 넣으면,대충 달에 얼마정도 들까요?? 그리고 기본옵션들 뭐뭐 들어있나요!??,"<p>안녕하세요 김민성 고객님.</p><p>문의주신 올 뉴K3 202무6461 차량은 렌트불가, 판매만 가능한 차량으로 확인되는점 안내드립니다.</p><p>구매방법에는 일시불(현금/카드), 할부, 리스가 있으며 보다 상세한 상담은 담당매니저를 통하여 도와드리겠습니다.</p><p>우선 요청주신 12시경 담당매니저의 개인연락처로 전화드리오니 확인후 통화부탁드립니다.</p><p>오늘도 즐거운 하루 시작보내세요, 감사합니다 ^^</p>",오전 5:01:25,kimjr1201,오전 9:13:36
4446,전기화물차,1톤 전기 화물차에  대하여  상담코져합니다,"<p>안녕하세요 이광호 고객님.</p><p>문의주신 전기화물차 확인하였으나, 아직은 매물이 없는것으로 확인되고 있습니다.</p><p>현재 입고예정인 전기화물차량도 확인되지 않고 있어 빠른 상담드리지 못하는점 양해부탁드립니다.</p><p>혹시 전기화물차 아닌 일반화물차량도 상담가능한지 확인요청드리며,&nbsp;</p><p>가능하다면 일반화물차 상담드리오니 확인후 대표번호, 카카오톡 리본카, 홈페이지로 문의주세요.</p><p>오늘도 즐거운 하루시작 보내세요, 감사합니다 :)</p>",오후 9:33:58,kimjr1201,오전 9:44:43
4445,상담,상담요청,<p>안녕하세요 이범규 고객님.</p><p>문의주신 올 뉴모닝 31조8029 차량 확인하여 연락드리겠습니다.</p><p>담당매니저를 통하여 전화드리오니 확인후 궁금하신점 문의주시면 되십니다.</p><p>오늘도 즐거운 하루시작되세요.</p><p>감사합니다.</p>,오후 8:49:19,kimjr1201,오전 9:01:38
4433,차량 옵션 궁금합니다.,차량 옵션 및 사고유무 궁금합니다.,"<p>안녕하세요 윤한민 고객님.</p><p>문의주신 쏘렌토 하이브리드 295서7454 차량은 현재 준비중인것으로 확인됩니다.</p><p>상담하기 오른쪽에 입고알림버튼이 있으며, 입고신청시 고객님께 바로 알림톡드리고 있습니다.</p><p>출고옵션 확인시&nbsp;<span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">드라이브와이즈,헤드업디스플레이,KRELL사운드,스마트커넥트,스타일 있으며,&nbsp;</span><span style=""letter-spacing: 0px;"">사고없는차량입니다.&nbsp;</span></p><p><span style=""letter-spacing: 0px;"">우선 관련하여 담당매니저 상세상담도와드릴 수 있도록 하겠습니다.</span></p><p><span style=""letter-spacing: 0px;"">오늘도 즐거운 하루 시작되세요.</span></p><p><span style=""letter-spacing: 0px;"">감사합니다.</span></p>",오후 11:59:48,kimjr1201,오전 9:10:57
4425,차량 판매,"<p><br></p><p>안녕하세요! 대차(트레이드오프) 말고 그냥 ""내차 판매"" 만 진행 가능한지도 궁금해요~</p><p>그리고 내차 판매 시에 어떤 프로세스로 진행되는지도 궁금합니다! :D</p>",,오후 1:21:49,kimjr1201,오후 1:25:43
4424,서비스 신청 드려요,"되도록이면 토/일요일이면 좋을 것 같습니다.
안되면 최대한 빠른 일정으로 확인 부탁 드립니다.
지역은 충북 충주입니다.",<p>안녕하세요 김종태 고객님.</p><p>찾아가는케어서비스 유상구매하신건 확인되었습니다.</p><p>유선안내드린것처럼 점검담당매니저 연락드린 후 스케줄 조율도와드리겠습니다.</p><p>주말 및 공휴일은 담당매니저님께서도 휴무일이기때문에 서비스 어려운점 양해부탁드립니다.</p><p>관련하여 상세안내 연락드리겠습니다.</p><p>감사합니다.</p>,오전 11:01:24,kimjr1201,오전 11:03:41
4413,차량상담,"올할부로 구매원하고
캐피탈말고 은행권을 끼고 가능한지도궁금합니다","<p>안녕하세요 선우지은 고객님.</p><p>문의주신 그랜저IG 하이브리드 43수5244 차량 담당매니저를 통한 상세상담도와드리겠습니다.</p><p>현재 제휴된 금융사의 경우 1금융권 은행은 없어 진행하신다면 개별할부가 필요한점 안내드립니다.</p><p>우선, 세일즈매니저 연락드리오니 전화받으신 후 할부관련 상담요청주시면 되십니다.</p><p>오늘도 즐거운하루 시작보내세요, 감사합니다.</p>",오전 8:21:38,kimjr1201,오전 9:06:41
4408,차량문의,할부가 가능한가요~? 할부 하였을 때 매월 가격이 궁금합니다,"<p>안녕하세요 이행임 고객님.</p><p>문의주신 신형K5차량 할부관련하여 담당매니저 안내도와드리겠습니다.</p><p>전액할부 또는 일부할부인지와, 요청하는 할부개월수 알려주시면 빠른상담가능합니다.</p><p>우선 관련하여 매니저님 전화드리니, 통화 후 궁금한점 문의주시면 되십니다.</p><p>오늘도 즐거운하루 보내세요.</p><p>감사합니다.</p>",오후 4:19:59,kimjr1201,오후 4:22:14
4402,스포티지 문의,"부산이라서 구매 원할 시 어떤 방식으로  진행되는지와
삼성 sm520 구형 03년식 차량 매입 조건으로 네고 가능한지","<p>안녕하세요 하경욱 고객님.</p><p>문의주신 스포티지 더 볼드 350소9734 차량 구매방법 및 대차매입확인연락드리겠습니다.</p><p>세일즈매니저 연락드리오니, 매입할 차량정보(차종, 번호, 연식, 주행거리, 사고유무 등) 정보 확인요청드립니다.</p><p>오늘도 즐거운 하루보내세요, 감사합니다.</p>",오후 12:27:03,kimjr1201,오후 1:01:46
4389,차량등록,"안녕하세요
개인이 차량을 본사에 등록에서 팔수있는 방법은 없을까요?
올리시는 매물은 본사에서 차를 직접 구입해서 다시 파는 방식일까요??
답변주셔서 감사합니다.","<p>안녕하세요 손혜림 고객님.</p><p>오토플러스의 경우 개인이 차량 등록하여 판매하지는 않으며, 중고차 판매와 매입만 진행하고 있습니다.</p><p>고객님의 차량 매입이라면 세일즈매니저 연락드린 후 차량정보(차정, 번호, 연식, 주행거리, 사고유무 등) 확인 후 매입가 안내드리고 있습니다.</p><p>문자확인하신 후 매입상담이 필요하다면 위 정보 확인하여 재문의부탁드립니다.</p><p>대표번호 1544-2277 / 홈페이지 / 카카오톡 리본카채널을 통하여 상담가능합니다.</p><p>감사합니다.</p>",오후 3:52:39,kimjr1201,오후 4:00:55
4372,장기차량 렌트카 인도 장소에 대한 문의,"안녕하세요? 
혹시 인천공항에서 장기렌트 차량을 도착해서 인도받고 출국시에  반납도 할 수 있나요? 
 렌트 기간은 2달1주일입니다.  
미국에서 연락드리는 관계로 통화는 어려울것 같아서 혹시 카톡 아이디가 있으면 이메일로 답장 주실때 알려주실래요? 
혹시 더 궁금한게 있으면 문의드리도록 하겠습니다. 수고하세요.",<p>안녕하세요 제임스 고객님.</p><p>현재 오토플러스 장기렌트의 경우 최소기간 12개월 진행하고 있습니다.</p><p>단기(2개월1주)는 진행하지 않고 있어 계약진행이 어려운점 양해부탁드립니다.</p><p>문의에 도움드리지 못하여 죄송한말씀드립니다.</p><p>오늘도 즐거운 한주 시작보내세요.</p><p>감사합니다.</p>,오후 5:41:20,kimjr1201,오전 9:03:51
4345,사고경력,상담 바랍니다.,"<p>안녕하세요 원은경 고객님.</p><p>문의주신 신형 모닝 374러4323 차량 확인하니 보험이력 총 3건(내차 피해 1건, 상대차 피해 1건) 있는것으로 확인됩니다.</p><p>보험개발원의 정보로 확인된 내용이며, 구체적인 상세사고내용은 확인이 어려운점 양해부탁드립니다.</p><p>우선 담당매니저 확인하여 전화상담드리오니, 연락받으신 후 궁금한 내용 문의주시면 빠른 확인도와드리겠습니다.</p><p>오늘도 즐거운 하루 시작되세요, 감사합니다.</p>",오후 9:24:25,kimjr1201,오전 9:17:14
4344,내차피해내용,"1.내차피해가 구체적으로 어떤건지 궁금합니다
2.혹시 할인은 좀되는지요‥?","<p>안녕하세요 김규호 고객님.</p><p>사고이력의 경우 보험개발원의 이력을 확인하는것이라 사고의 구체적인 내용까지는 확인이 어려운점 양해부탁드립니다.</p><p>오토플러스는 중고차시장의 투명한 가격정책을 위하여 정찰제 운영중으로 홈페이지 표기된 금액으로 구매가 확인해주시면 되십니다.</p><p>우선 차량정보 확인하여 담당매니저 상담연락드릴 수 있도록 하겠습니다.</p><p>오늘도 즐거운하루 시작되세요, 감사합니다.</p>",오후 9:02:17,kimjr1201,오전 9:10:20
4339,2년차   케어,예약을 하고싶습니다    엔진오일  교환 포함해서요,"<p>안녕하세요 오창엽 고객님.</p><p>찾아가는 방문케어서비스 2회차 엔진오일교환 접수도와드리겠습니다.</p><p>경기도 안양, 해당지역 담당자님께서 연락드린 후 방문조율예정인점 안내드립니다.</p><p>오늘도 즐거운하루 보내세요, 감사합니다.</p>",오후 1:49:07,kimjr1201,오후 1:53:24
